participant_id,day,session_label,mean_wpm,mean_errors_per_phrase,error_rate_per_phrase,mean_cer,mean_accuracy,n_trials,n_selections,n_errors,error_rate_per_keystroke,n_late_err,n_early_err,n_other_err,early_share_of_err,late_share_of_err,other_share_of_err,early_err_per_key,late_err_per_key,other_err_per_key,mean_trigger_offset_ms,median_trigger_offset_ms,mean_gaze_pinch_latency_ms,median_gaze_pinch_latency_ms,mean_approach_latency_ms,mean_fixation_dwell_ms,mean_key_hold_ms,mean_fixation_ms,mean_corrective_saccades
P05,2,experiment_4,4.367172476488224,1.4,0.9,0.28,0.72,10,50,14,0.28,11,2,1,0.14285714285714285,0.7857142857142857,0.07142857142857142,0.04,0.22,0.02,279.62,0.0,605.0697674418604,582.0,711.8787878787879,235.03030303030303,104.44827586206897,95.12989040864572,5.2
P05,2,experiment_5,4.267955246273558,1.2,0.9,0.24000000000000005,0.76,10,50,12,0.24,7,3,2,0.25,0.5833333333333334,0.16666666666666666,0.06,0.14,0.04,188.14,0.0,530.5581395348837,585.0,760.7272727272727,293.93939393939394,112.20689655172414,99.038796598679,4.279999999999999
P05,3,experiment_1,9.055611988058033,0.5,0.5,0.1,0.9,10,50,5,0.1,2,1,2,0.2,0.4,0.4,0.02,0.04,0.04,10.040816326530612,0.0,528.4090909090909,557.5,741.5,216.92105263157896,153.5,94.98487012987013,2.12
P05,3,experiment_2,7.335931175329586,0.4,0.3,0.08,0.9199999999999999,10,50,4,0.08,0,3,1,0.75,0.0,0.25,0.06,0.0,0.02,-14.44,0.0,598.5909090909091,553.0,750.6857142857143,208.5142857142857,145.72,94.40714285714286,1.9
P05,3,experiment_3,8.571254053932618,0.4,0.4,0.08,0.9199999999999999,10,50,4,0.08,0,0,4,0.0,0.0,1.0,0.0,0.0,0.08,5.5,0.0,492.8125,520.0,688.0,213.025,149.375,94.97974531918031,1.6199999999999999
P05,3,experiment_4,8.79709524526765,0.4,0.4,0.08,0.9199999999999999,10,50,4,0.08,1,1,2,0.25,0.25,0.5,0.02,0.02,0.04,3.76,0.0,522.5102040816327,537.0,716.0,208.30232558139534,141.46,92.3684126984127,1.46
P05,3,experiment_5,9.623867642053625,0.1,0.1,0.02,0.9800000000000001,10,50,1,0.02,0,0,1,0.0,0.0,1.0,0.0,0.0,0.02,1.42,0.0,436.32,492.5,625.05,223.325,145.88,94.5262091503268,1.0
P06,1,experiment_1,3.343484467649364,2.4,1.0,0.48,0.52,10,50,24,0.48,12,6,6,0.25,0.5,0.25,0.12,0.24,0.12,397.1875,0.0,536.9512195121952,484.0,747.1875,263.375,125.66666666666667,96.48582076848837,3.0
P06,1,experiment_2,4.044322942060431,2.5,0.9,0.5,0.5,10,50,25,0.5,18,4,3,0.16,0.72,0.12,0.08,0.36,0.06,436.8723404255319,0.0,382.42,293.0,591.6808510638298,226.06382978723406,152.13333333333333,98.61883477633478,1.5399999999999998
P06,1,experiment_3,5.108804626617577,3.3,1.0,0.6599999999999999,0.33999999999999997,10,50,34,0.68,13,18,3,0.5294117647058824,0.38235294117647056,0.08823529411764706,0.36,0.26,0.06,130.77272727272728,0.0,434.2244897959184,333.0,604.5116279069767,260.8837209302326,134.0,95.32525630252101,2.42
P06,1,experiment_4,5.76934962410047,3.3,1.0,0.6599999999999999,0.33999999999999997,10,50,33,0.66,16,10,7,0.30303030303030304,0.48484848484848486,0.21212121212121213,0.2,0.32,0.14,223.9111111111111,0.0,484.6304347826087,427.0,720.046511627907,264.09302325581393,122.0,103.74869075369074,1.8399999999999999
P06,1,experiment_5,5.5663211557066985,2.9,1.0,0.58,0.42000000000000004,10,50,29,0.58,11,13,5,0.4482758620689655,0.3793103448275862,0.1724137931034483,0.26,0.22,0.1,399.0243902439024,0.0,561.0,568.0,776.8,248.45,140.83783783783784,98.61031151296245,1.6600000000000001
P06,2,experiment_1,7.075508064543184,2.0,0.9,0.4,0.6,10,50,20,0.4,8,9,3,0.45,0.4,0.15,0.18,0.16,0.06,95.06818181818181,0.0,467.54761904761904,459.5,664.2333333333333,289.6666666666667,116.78947368421052,100.60202475664433,1.94
P06,2,experiment_2,6.110098532230874,2.0,0.9,0.4,0.6,10,50,20,0.4,9,7,4,0.35,0.45,0.2,0.14,0.18,0.08,108.97674418604652,0.0,460.6923076923077,501.0,661.21875,219.65625,130.17948717948718,96.53960083006424,1.8
P06,2,experiment_3,6.562417928956236,1.5,0.7,0.3,0.7,10,50,15,0.3,5,7,3,0.4666666666666667,0.3333333333333333,0.2,0.14,0.1,0.06,97.52272727272727,0.0,606.3243243243244,551.0,773.5714285714286,271.57142857142856,142.48648648648648,100.8191102851397,1.78
